Id,Year,Ages,Style,SalePrice,Type,Area
1,2004,Young,OneStory,192000,LotArea,3182
2,1998,Young,OneStory,213250,LotArea,10140
3,1950,Old,OneStory,128000,LotArea,9600
4,1992,Young,TwoStory,190000,LotArea,10186
5,2006,Young,TwoStory,233230,LotArea,15611
6,2005,Young,OneStory,202500,LotArea,6955
7,1955,Old,Other,165500,LotArea,9600
8,1977,Young,TwoStory,272000,LotArea,12227
9,1949,Old,TwoStory,145000,LotArea,6270
10,2009,Young,TwoStory,164500,LotArea,3951
11,1984,Young,Other,142500,LotArea,7937
12,1964,Old,Other,158000,LotArea,9350
13,2006,Young,OneStory,337500,LotArea,12456
14,2003,Young,TwoStory,284000,LotArea,10625
15,1957,Old,OneStory,129900,LotArea,7100
16,1969,Old,OneStory,128500,LotArea,9920
17,1957,Old,OneStory,84000,LotArea,11500
18,1981,Young,OneStory,182900,LotArea,12546
19,1923,Old,Other,210000,LotArea,8737
20,1959,Old,OneStory,133700,LotArea,7560
21,1928,Old,Other,177000,LotArea,7558
22,2001,Young,OneStory,205000,LotArea,13704
23,2003,Young,OneStory,184900,LotArea,10083
24,1958,Old,Other,172500,LotArea,13650
25,1924,Old,Other,127000,LotArea,5000
26,2006,Young,OneStory,255500,LotArea,11146
27,2004,Young,OneStory,159000,LotArea,13695
28,1922,Old,Other,191000,LotArea,11526
29,1974,Young,Other,170000,LotArea,10625
30,1965,Old,OneStory,156000,LotArea,10289
31,2004,Young,TwoStory,148800,LotArea,5105
32,1994,Young,TwoStory,174000,LotArea,8125
33,2004,Young,OneStory,213000,LotArea,8400
34,1977,Young,Other,151000,LotArea,8471
35,1984,Young,OneStory,119500,LotArea,6951
36,1969,Old,TwoStory,172000,LotArea,11075
37,2004,Young,TwoStory,215000,LotArea,11796
38,1975,Young,OneStory,122000,LotArea,10356
39,2007,Young,OneStory,293077,LotArea,9520
40,1893,Old,Other,325000,LotArea,13500
41,1968,Old,OneStory,129000,LotArea,8724
42,1949,Old,OneStory,35311,LotArea,9000
43,2000,Young,TwoStory,181000,LotArea,8063
44,1978,Young,Other,165500,LotArea,9101
45,1910,Old,Other,96500,LotArea,8800
46,2007,Young,OneStory,318000,LotArea,12085
47,1966,Old,OneStory,149350,LotArea,8544
48,1957,Old,OneStory,257500,LotArea,14442
49,1993,Young,TwoStory,310000,LotArea,14541
50,1923,Old,OneStory,85500,LotArea,5900
51,1977,Young,OneStory,165000,LotArea,11250
52,1992,Young,TwoStory,189000,LotArea,11218
53,1963,Old,Other,137500,LotArea,8800
54,1950,Old,OneStory,82000,LotArea,8400
55,1999,Young,OneStory,214000,LotArea,10264
56,1988,Young,OneStory,171000,LotArea,11070
57,1930,Old,Other,162900,LotArea,6240
58,1958,Old,OneStory,110000,LotArea,11475
59,2003,Young,TwoStory,285000,LotArea,11999
60,1979,Young,Other,135960,LotArea,7032
61,1910,Old,Other,139000,LotArea,5362
62,1915,Old,TwoStory,177000,LotArea,15576
63,2006,Young,OneStory,264561,LotArea,3982
64,1934,Old,TwoStory,188700,LotArea,11988
65,1936,Old,Other,250000,LotArea,11500
66,1976,Young,OneStory,134000,LotArea,4224
67,2000,Young,TwoStory,230500,LotArea,11194
68,1996,Young,TwoStory,328000,LotArea,14000
69,1945,Old,TwoStory,259500,LotArea,7259
70,1962,Old,Other,134500,LotArea,10205
71,1985,Young,OneStory,212000,LotArea,6820
72,1954,Old,OneStory,224000,LotArea,14778
73,1937,Old,OneStory,89471,LotArea,5925
74,1965,Old,OneStory,62383,LotArea,8281
75,1959,Old,OneStory,145500,LotArea,10007
76,1962,Old,Other,132500,LotArea,7728
77,1999,Young,OneStory,165000,LotArea,4500
78,1972,Old,OneStory,111250,LotArea,12735
79,1948,Old,Other,91500,LotArea,7585
80,1978,Young,OneStory,210000,LotArea,13175
81,1977,Young,OneStory,217500,LotArea,12984
82,1961,Old,Other,178400,LotArea,12122
83,1955,Old,OneStory,125000,LotArea,8235
84,1956,Old,OneStory,127500,LotArea,9855
85,1925,Old,Other,205000,LotArea,7264
86,2000,Young,TwoStory,165000,LotArea,2651
87,1956,Old,Other,103200,LotArea,5500
88,2003,Young,OneStory,284000,LotArea,10655
89,1967,Old,Other,242000,LotArea,11275
90,1968,Old,OneStory,136500,LotArea,10778
91,2004,Young,TwoStory,350000,LotArea,8834
92,1969,Old,TwoStory,158000,LotArea,9364
93,1935,Old,OneStory,81000,LotArea,18000
94,1992,Young,Other,147000,LotArea,9069
95,2007,Young,OneStory,314813,LotArea,11694
96,1957,Old,OneStory,141000,LotArea,14850
97,1920,Old,OneStory,60000,LotArea,8400
98,1953,Old,OneStory,93000,LotArea,6000
99,1970,Old,OneStory,268000,LotArea,15865
100,2007,Young,OneStory,297000,LotArea,10637
101,2003,Young,OneStory,155000,LotArea,13695
102,1994,Young,TwoStory,271000,LotArea,10944
103,2006,Young,TwoStory,164700,LotArea,4251
104,1987,Young,TwoStory,239000,LotArea,5306
105,1969,Old,TwoStory,152000,LotArea,10793
106,2006,Young,OneStory,465000,LotArea,13891
107,1967,Old,Other,135500,LotArea,9750
108,1999,Young,TwoStory,333168,LotArea,14774
109,1977,Young,Other,126000,LotArea,10125
110,1995,Young,Other,410000,LotArea,14720
111,1954,Old,Other,131500,LotArea,12150
112,2007,Young,OneStory,311872,LotArea,9416
113,1970,Old,OneStory,149000,LotArea,11241
114,1999,Young,TwoStory,155000,LotArea,2572
115,1967,Old,OneStory,143000,LotArea,10355
116,2006,Young,OneStory,194201,LotArea,3922
117,1978,Young,Other,147000,LotArea,10970
118,1940,Old,OneStory,82500,LotArea,5330
119,1964,Old,OneStory,167000,LotArea,9937
120,2009,Young,OneStory,370878,LotArea,9187
121,1967,Old,OneStory,125000,LotArea,8521
122,2005,Young,OneStory,181000,LotArea,3182
123,2004,Young,TwoStory,151000,LotArea,3182
124,2008,Young,OneStory,372500,LotArea,11844
125,1958,Old,OneStory,139000,LotArea,9600
126,1953,Old,OneStory,157000,LotArea,15750
127,2005,Young,OneStory,160200,LotArea,3182
128,2009,Young,TwoStory,215200,LotArea,8640
129,1959,Old,OneStory,128950,LotArea,9320
130,2005,Young,OneStory,319900,LotArea,7658
131,2003,Young,OneStory,131500,LotArea,4435
132,1958,Old,Other,145000,LotArea,10482
133,1966,Old,TwoStory,187500,LotArea,12205
134,1910,Old,TwoStory,132000,LotArea,9600
135,1936,Old,Other,141500,LotArea,6120
136,1963,Old,OneStory,155000,LotArea,8700
137,1994,Young,OneStory,193500,LotArea,8125
138,2009,Young,OneStory,611657,LotArea,12919
139,2006,Young,OneStory,147000,LotArea,9986
140,1993,Young,TwoStory,165600,LotArea,7685
141,2005,Young,OneStory,377426,LotArea,14157
142,1962,Old,OneStory,132000,LotArea,7420
143,2003,Young,OneStory,140000,LotArea,4435
144,1995,Young,TwoStory,290000,LotArea,9950
145,1985,Young,OneStory,112000,LotArea,8780
146,1970,Old,OneStory,174000,LotArea,10400
147,2004,Young,OneStory,259000,LotArea,14572
148,2007,Young,OneStory,194500,LotArea,7314
149,1957,Old,OneStory,109008,LotArea,8593
150,2004,Young,TwoStory,185900,LotArea,8320
151,2007,Young,TwoStory,227875,LotArea,10207
152,1993,Young,TwoStory,185000,LotArea,9765
153,2000,Young,OneStory,235000,LotArea,9100
154,1963,Old,OneStory,159000,LotArea,9500
155,1976,Young,OneStory,218000,LotArea,10768
156,1928,Old,Other,145000,LotArea,6292
157,1970,Old,OneStory,163500,LotArea,12155
158,1997,Young,TwoStory,169000,LotArea,8773
159,1955,Old,OneStory,107500,LotArea,7200
160,1968,Old,TwoStory,193500,LotArea,13000
161,1920,Old,Other,79900,LotArea,5586
162,1997,Young,TwoStory,222000,LotArea,13006
163,1898,Old,Other,106000,LotArea,8100
164,1969,Old,OneStory,138800,LotArea,15870
165,1914,Old,TwoStory,127000,LotArea,6882
166,1958,Old,OneStory,120000,LotArea,7535
167,1940,Old,OneStory,119000,LotArea,7200
168,1959,Old,OneStory,80000,LotArea,9000
169,1940,Old,Other,139500,LotArea,9900
170,2002,Young,OneStory,270000,LotArea,14536
171,1976,Young,Other,107000,LotArea,7819
172,1926,Old,Other,116900,LotArea,5700
173,1959,Old,Other,134432,LotArea,17120
174,2008,Young,OneStory,262500,LotArea,9000
175,1955,Old,OneStory,115000,LotArea,10434
176,1910,Old,OneStory,85000,LotArea,8777
177,2004,Young,OneStory,179600,LotArea,8500
178,1993,Young,TwoStory,194500,LotArea,9453
179,2005,Young,Other,145000,LotArea,3675
180,1885,Old,TwoStory,122500,LotArea,11340
181,1921,Old,OneStory,108480,LotArea,5400
182,1961,Old,OneStory,135000,LotArea,6993
183,1935,Old,Other,84500,LotArea,6780
184,2009,Young,OneStory,233170,LotArea,9541
185,1940,Old,Other,140000,LotArea,8400
186,1963,Old,Other,175000,LotArea,12886
187,1973,Young,OneStory,135000,LotArea,9246
188,1976,Young,OneStory,180000,LotArea,11361
189,1972,Old,OneStory,123000,LotArea,7200
190,1998,Young,TwoStory,336000,LotArea,12203
1,2004,Young,OneStory,192000,GrLivArea,1269
2,1998,Young,OneStory,213250,GrLivArea,1680
3,1950,Old,OneStory,128000,GrLivArea,1067
4,1992,Young,TwoStory,190000,GrLivArea,1923
5,2006,Young,TwoStory,233230,GrLivArea,1919
6,2005,Young,OneStory,202500,GrLivArea,1368
7,1955,Old,Other,165500,GrLivArea,1661
8,1977,Young,TwoStory,272000,GrLivArea,2872
9,1949,Old,TwoStory,145000,GrLivArea,2002
10,2009,Young,TwoStory,164500,GrLivArea,1224
11,1984,Young,Other,142500,GrLivArea,1003
12,1964,Old,Other,158000,GrLivArea,1302
13,2006,Young,OneStory,337500,GrLivArea,1718
14,2003,Young,TwoStory,284000,GrLivArea,2046
15,1957,Old,OneStory,129900,GrLivArea,816
16,1969,Old,OneStory,128500,GrLivArea,971
17,1957,Old,OneStory,84000,GrLivArea,845
18,1981,Young,OneStory,182900,GrLivArea,1440
19,1923,Old,Other,210000,GrLivArea,1635
20,1959,Old,OneStory,133700,GrLivArea,1040
21,1928,Old,Other,177000,GrLivArea,1913
22,2001,Young,OneStory,205000,GrLivArea,1541
23,2003,Young,OneStory,184900,GrLivArea,1200
24,1958,Old,Other,172500,GrLivArea,1920
25,1924,Old,Other,127000,GrLivArea,1691
26,2006,Young,OneStory,255500,GrLivArea,1717
27,2004,Young,OneStory,159000,GrLivArea,1114
28,1922,Old,Other,191000,GrLivArea,2555
29,1974,Young,Other,170000,GrLivArea,1173
30,1965,Old,OneStory,156000,GrLivArea,1073
31,2004,Young,TwoStory,148800,GrLivArea,1102
32,1994,Young,TwoStory,174000,GrLivArea,1481
33,2004,Young,OneStory,213000,GrLivArea,1484
34,1977,Young,Other,151000,GrLivArea,1212
35,1984,Young,OneStory,119500,GrLivArea,923
36,1969,Old,TwoStory,172000,GrLivArea,1968
37,2004,Young,TwoStory,215000,GrLivArea,1959
38,1975,Young,OneStory,122000,GrLivArea,969
39,2007,Young,OneStory,293077,GrLivArea,1646
40,1893,Old,Other,325000,GrLivArea,2775
41,1968,Old,OneStory,129000,GrLivArea,894
42,1949,Old,OneStory,35311,GrLivArea,480
43,2000,Young,TwoStory,181000,GrLivArea,1690
44,1978,Young,Other,165500,GrLivArea,1110
45,1910,Old,Other,96500,GrLivArea,1140
46,2007,Young,OneStory,318000,GrLivArea,1734
47,1966,Old,OneStory,149350,GrLivArea,1228
48,1957,Old,OneStory,257500,GrLivArea,1839
49,1993,Young,TwoStory,310000,GrLivArea,2520
50,1923,Old,OneStory,85500,GrLivArea,869
51,1977,Young,OneStory,165000,GrLivArea,1208
52,1992,Young,TwoStory,189000,GrLivArea,1845
53,1963,Old,Other,137500,GrLivArea,1054
54,1950,Old,OneStory,82000,GrLivArea,841
55,1999,Young,OneStory,214000,GrLivArea,1588
56,1988,Young,OneStory,171000,GrLivArea,1959
57,1930,Old,Other,162900,GrLivArea,1573
58,1958,Old,OneStory,110000,GrLivArea,1776
59,2003,Young,TwoStory,285000,GrLivArea,2374
60,1979,Young,Other,135960,GrLivArea,943
61,1910,Old,Other,139000,GrLivArea,1250
62,1915,Old,TwoStory,177000,GrLivArea,1680
63,2006,Young,OneStory,264561,GrLivArea,1567
64,1934,Old,TwoStory,188700,GrLivArea,1660
65,1936,Old,Other,250000,GrLivArea,2057
66,1976,Young,OneStory,134000,GrLivArea,1142
67,2000,Young,TwoStory,230500,GrLivArea,1936
68,1996,Young,TwoStory,328000,GrLivArea,2260
69,1945,Old,TwoStory,259500,GrLivArea,2320
70,1962,Old,Other,134500,GrLivArea,999
71,1985,Young,OneStory,212000,GrLivArea,1502
72,1954,Old,OneStory,224000,GrLivArea,1640
73,1937,Old,OneStory,89471,GrLivArea,1131
74,1965,Old,OneStory,62383,GrLivArea,864
75,1959,Old,OneStory,145500,GrLivArea,1053
76,1962,Old,Other,132500,GrLivArea,1190
77,1999,Young,OneStory,165000,GrLivArea,1224
78,1972,Old,OneStory,111250,GrLivArea,864
79,1948,Old,Other,91500,GrLivArea,1456
80,1978,Young,OneStory,210000,GrLivArea,2073
81,1977,Young,OneStory,217500,GrLivArea,1647
82,1961,Old,Other,178400,GrLivArea,999
83,1955,Old,OneStory,125000,GrLivArea,825
84,1956,Old,OneStory,127500,GrLivArea,1689
85,1925,Old,Other,205000,GrLivArea,1548
86,2000,Young,TwoStory,165000,GrLivArea,1382
87,1956,Old,Other,103200,GrLivArea,882
88,2003,Young,OneStory,284000,GrLivArea,1629
89,1967,Old,Other,242000,GrLivArea,2978
90,1968,Old,OneStory,136500,GrLivArea,1768
91,2004,Young,TwoStory,350000,GrLivArea,2224
92,1969,Old,TwoStory,158000,GrLivArea,1352
93,1935,Old,OneStory,81000,GrLivArea,894
94,1992,Young,Other,147000,GrLivArea,996
95,2007,Young,OneStory,314813,GrLivArea,1828
96,1957,Old,OneStory,141000,GrLivArea,1092
97,1920,Old,OneStory,60000,GrLivArea,438
98,1953,Old,OneStory,93000,GrLivArea,936
99,1970,Old,OneStory,268000,GrLivArea,2217
100,2007,Young,OneStory,297000,GrLivArea,1718
101,2003,Young,OneStory,155000,GrLivArea,1114
102,1994,Young,TwoStory,271000,GrLivArea,2127
103,2006,Young,TwoStory,164700,GrLivArea,1250
104,1987,Young,TwoStory,239000,GrLivArea,1767
105,1969,Old,TwoStory,152000,GrLivArea,1620
106,2006,Young,OneStory,465000,GrLivArea,2076
107,1967,Old,Other,135500,GrLivArea,980
108,1999,Young,TwoStory,333168,GrLivArea,2599
109,1977,Young,Other,126000,GrLivArea,1734
110,1995,Young,Other,410000,GrLivArea,3238
111,1954,Old,Other,131500,GrLivArea,1795
112,2007,Young,OneStory,311872,GrLivArea,1726
113,1970,Old,OneStory,149000,GrLivArea,1004
114,1999,Young,TwoStory,155000,GrLivArea,1416
115,1967,Old,OneStory,143000,GrLivArea,1214
116,2006,Young,OneStory,194201,GrLivArea,1402
117,1978,Young,Other,147000,GrLivArea,1026
118,1940,Old,OneStory,82500,GrLivArea,708
119,1964,Old,OneStory,167000,GrLivArea,1486
120,2009,Young,OneStory,370878,GrLivArea,1766
121,1967,Old,OneStory,125000,GrLivArea,912
122,2005,Young,OneStory,181000,GrLivArea,1504
123,2004,Young,TwoStory,151000,GrLivArea,1200
124,2008,Young,OneStory,372500,GrLivArea,2046
125,1958,Old,OneStory,139000,GrLivArea,1632
126,1953,Old,OneStory,157000,GrLivArea,1336
127,2005,Young,OneStory,160200,GrLivArea,1145
128,2009,Young,TwoStory,215200,GrLivArea,1547
129,1959,Old,OneStory,128950,GrLivArea,1225
130,2005,Young,OneStory,319900,GrLivArea,1752
131,2003,Young,OneStory,131500,GrLivArea,848
132,1958,Old,Other,145000,GrLivArea,1138
133,1966,Old,TwoStory,187500,GrLivArea,2087
134,1910,Old,TwoStory,132000,GrLivArea,1432
135,1936,Old,Other,141500,GrLivArea,1539
136,1963,Old,OneStory,155000,GrLivArea,1128
137,1994,Young,OneStory,193500,GrLivArea,1679
138,2009,Young,OneStory,611657,GrLivArea,2364
139,2006,Young,OneStory,147000,GrLivArea,1795
140,1993,Young,TwoStory,165600,GrLivArea,1501
141,2005,Young,OneStory,377426,GrLivArea,1922
142,1962,Old,OneStory,132000,GrLivArea,1057
143,2003,Young,OneStory,140000,GrLivArea,848
144,1995,Young,TwoStory,290000,GrLivArea,2520
145,1985,Young,OneStory,112000,GrLivArea,833
146,1970,Old,OneStory,174000,GrLivArea,1682
147,2004,Young,OneStory,259000,GrLivArea,1530
148,2007,Young,OneStory,194500,GrLivArea,1232
149,1957,Old,OneStory,109008,GrLivArea,907
150,2004,Young,TwoStory,185900,GrLivArea,1582
151,2007,Young,TwoStory,227875,GrLivArea,1761
152,1993,Young,TwoStory,185000,GrLivArea,1470
153,2000,Young,OneStory,235000,GrLivArea,1525
154,1963,Old,OneStory,159000,GrLivArea,1394
155,1976,Young,OneStory,218000,GrLivArea,1437
156,1928,Old,Other,145000,GrLivArea,1477
157,1970,Old,OneStory,163500,GrLivArea,1657
158,1997,Young,TwoStory,169000,GrLivArea,1600
159,1955,Old,OneStory,107500,GrLivArea,827
160,1968,Old,TwoStory,193500,GrLivArea,2142
161,1920,Old,Other,79900,GrLivArea,1198
162,1997,Young,TwoStory,222000,GrLivArea,2236
163,1898,Old,Other,106000,GrLivArea,2138
164,1969,Old,OneStory,138800,GrLivArea,1096
165,1914,Old,TwoStory,127000,GrLivArea,1355
166,1958,Old,OneStory,120000,GrLivArea,912
167,1940,Old,OneStory,119000,GrLivArea,804
168,1959,Old,OneStory,80000,GrLivArea,1006
169,1940,Old,Other,139500,GrLivArea,1489
170,2002,Young,OneStory,270000,GrLivArea,1629
171,1976,Young,Other,107000,GrLivArea,1117
172,1926,Old,Other,116900,GrLivArea,1111
173,1959,Old,Other,134432,GrLivArea,1588
174,2008,Young,OneStory,262500,GrLivArea,1566
175,1955,Old,OneStory,115000,GrLivArea,1005
176,1910,Old,OneStory,85000,GrLivArea,796
177,2004,Young,OneStory,179600,GrLivArea,1422
178,1993,Young,TwoStory,194500,GrLivArea,1744
179,2005,Young,Other,145000,GrLivArea,1072
180,1885,Old,TwoStory,122500,GrLivArea,2290
181,1921,Old,OneStory,108480,GrLivArea,1073
182,1961,Old,OneStory,135000,GrLivArea,1236
183,1935,Old,Other,84500,GrLivArea,754
184,2009,Young,OneStory,233170,GrLivArea,1502
185,1940,Old,Other,140000,GrLivArea,1595
186,1963,Old,Other,175000,GrLivArea,1464
187,1973,Young,OneStory,135000,GrLivArea,1656
188,1976,Young,OneStory,180000,GrLivArea,1523
189,1972,Old,OneStory,123000,GrLivArea,894
190,1998,Young,TwoStory,336000,GrLivArea,2612
